stamp, x, y, theta
 1.67789e+09,8.42433, 6.33184, 2.09272
 1.67789e+09,8.76606, 5.94764, 2.68398
 1.67789e+09,9.16667, 5.74987, 2.9788
 1.67789e+09,9.61115, 5.52797, 3.08798
 1.67789e+09,10.0328, 5.39019, 0.00233169
 1.67789e+09,10.4681, 5.37161, 0.0675473
 1.67789e+09,10.9405, 5.37588, 0.0354068
 1.67789e+09,11.4221, 5.38399, 0.0243829
 1.67789e+09,11.9366, 5.3962, 0.00481419
 1.67789e+09,12.4323, 5.41204, 0.00671887
 1.67789e+09,12.9384, 5.44327, 0.0201869
 1.67789e+09,13.4116, 5.46938, 0.0346956
 1.67789e+09,13.885, 5.47597, 0.0541047
 1.67789e+09,14.3709, 5.46486, 0.0607566
 1.67789e+09,14.8575, 5.43649, 0.0250575
 1.67789e+09,15.3718, 5.39823, 0.0128166
 1.67789e+09,15.8741, 5.34916, 3.12545
 1.67789e+09,16.3795, 5.30865, 3.13396
 1.67789e+09,16.8698, 5.27462, 3.12048
 1.67789e+09,17.3234, 5.25146, 3.10413
 1.67789e+09,17.8148, 5.23125, 3.10861
 1.67789e+09,18.3299, 5.19494, 3.09996
 1.67789e+09,18.843, 5.1568, 3.09815
 1.67789e+09,19.3484, 5.11553, 3.10547
 1.67789e+09,19.8561, 5.07237, 3.1172
 1.67789e+09,20.3429, 5.05894, 3.13781
 1.67789e+09,20.8244, 5.00992, 3.05233
 1.67789e+09,21.3043, 4.96039, 2.99915
 1.67789e+09,21.7654, 4.88778, 2.97798
 1.67789e+09,22.2053, 4.78181, 2.9306
 1.67789e+09,22.6413, 4.57499, 2.71004
 1.67789e+09,23.0793, 4.19118, 2.46733
 1.67789e+09,23.4097, 3.7633, 2.25555
 1.67789e+09,23.5984, 3.34854, 2.0871
 1.67789e+09,23.7285, 2.90772, 1.8744
 1.67789e+09,23.809, 2.44757, 1.75545
 1.67789e+09,23.8496, 1.97779, 1.72091
 1.67789e+09,23.851, 1.51434, 1.66509
 1.67789e+09,23.8067, 1.03024, 1.6279
 1.67789e+09,23.7491, 0.569937, 1.578
 1.67789e+09,23.6442, 0.138958, 1.43964
 1.67789e+09,23.4562, -0.353916, 1.32637
 1.67789e+09,23.107, -0.804584, 0.999306
 1.67789e+09,22.631, -1.11224, 0.600891
 1.67789e+09,22.1762, -1.24239, 0.358452
 1.67789e+09,21.7487, -1.27107, 0.231274
 1.67789e+09,21.3282, -1.28241, 0.151752
 1.67789e+09,20.8772, -1.29716, 0.0917311
 1.67789e+09,20.408, -1.27608, 0.0287994
 1.67789e+09,19.9458, -1.23061, 3.12676
 1.67789e+09,19.455, -1.16597, 3.07812
 1.67789e+09,18.9736, -1.11056, 3.08597
 1.67789e+09,18.4801, -1.0597, 3.07993
 1.67789e+09,17.9829, -0.998484, 2.97649
 1.67789e+09,17.5025, -0.986674, 2.98804
 1.67789e+09,17.015, -0.966316, 2.98709
 1.67789e+09,16.5434, -0.941978, 3.01117
 1.67789e+09,16.0602, -0.906504, 3.02446
 1.67789e+09,15.5655, -0.883506, 3.01957
 1.67789e+09,15.1076, -0.853883, 3.04872
 1.67789e+09,14.6434, -0.847066, 0.00343769
 1.67789e+09,14.2072, -0.883536, 0.113697
 1.67789e+09,13.7261, -1.04032, 0.399096
 1.67789e+09,13.2617, -1.33873, 0.870377
 1.67789e+09,12.8511, -1.76124, 1.3387
 1.67789e+09,12.6645, -2.21658, 1.38615
 1.67789e+09,12.571, -2.65949, 1.45633
 1.67789e+09,12.4964, -3.14285, 1.39747
 1.67789e+09,12.4365, -3.66268, 1.34803
 1.67789e+09,12.3642, -4.14073, 1.34072
 1.67789e+09,12.2736, -4.59543, 1.29502
 1.67789e+09,12.1427, -5.02353, 1.2473
 1.67789e+09,12.0385, -5.42548, 1.27321
 1.67789e+09,11.8795, -5.82031, 1.2325
 1.67789e+09,11.6772, -6.29583, 1.21546
 1.67789e+09,11.5113, -6.73132, 1.25795
 1.67789e+09,11.3809, -7.21361, 1.32504
 1.67789e+09,11.307, -7.61613, 1.36178
