,stamp,x,y,qx,qy,qz,qw,var_x,var_y,var_theta
504,1677886628.370161,8.853393345208133,-20.811360414817496,0.0,0.0,-0.961938646369537,0.2732655130468221,0.03073709165809646,0.0330085300056453,0.014220816289648353
505,1677886628.975321,9.352702625397002,-20.693908969475277,0.0,0.0,-0.9019385496465503,0.43186439151830663,0.041251750607983695,0.034063434382062496,0.016836686805731294
506,1677886629.580474,9.83302057040634,-20.409639500530215,0.0,0.0,-0.8307968964335809,0.556575706329633,0.05138788730407384,0.037281156649157765,0.02179361387527883
507,1677886630.185629,10.167573201588496,-20.018180520418824,0.0,0.0,-0.7751245604193655,0.6318084486889087,0.053160462158118094,0.037151057664630116,0.020087569170650042
508,1677886630.689929,10.328338359472038,-19.578557970269454,0.0,0.0,-0.7757519887957257,0.6310379163564391,0.04828552778454309,0.03386758738378148,0.01592781618712476
509,1677886631.295082,10.447681894131787,-19.070116005286597,0.0,0.0,-0.7562099478623148,0.6543290569385369,0.03701341803028413,0.033477362384189746,0.01285771503256643
510,1677886631.900242,10.512111229892593,-18.561862139588314,0.0,0.0,-0.7585049853680212,0.6516672365339982,0.03199249331782994,0.031583265509937064,0.010346572355577701
511,1677886632.505396,10.598179043798808,-18.03249490399589,0.0,0.0,-0.7480211897604866,0.6636748448369171,0.028991013262057663,0.029268350324912262,0.00892317356876256
512,1677886633.009691,10.624248669116508,-17.53804346575297,0.0,0.0,-0.7521627808650954,0.6589773524797999,0.02730402060075221,0.027611794765334707,0.007630802020795161
513,1677886633.51399,10.6738617489995,-17.035911844499267,0.0,0.0,-0.7450857535784848,0.6669686797851765,0.027652259154947956,0.02594641976679668,0.006764652120778249
514,1677886634.119144,10.710626626756943,-16.443226814182065,0.0,0.0,-0.7412779237193007,0.6711982120107313,0.02695205126219946,0.025884390201497354,0.00614137304398532
515,1677886634.623444,10.746336089031365,-15.928658204833322,0.0,0.0,-0.740629313541186,0.6719138485873852,0.02416583295425312,0.0251848866245723,0.005350988928727092
516,1677886635.127739,10.82846319606845,-15.43316222732104,0.0,0.0,-0.7538040987106471,0.6570992168364143,0.022686502204635417,0.024132268153465475,0.005050684719218269
517,1677886635.632039,10.925713497223484,-14.89982254570422,0.0,0.0,-0.7588898142412891,0.6512190490463418,0.026293556304494814,0.02400280385006681,0.0055572895722034235
518,1677886636.237192,10.994148480461732,-14.312300009155463,0.0,0.0,-0.7444596903924855,0.6676674092545813,0.03343953106798381,0.02526401504727005,0.006652506932844569
