stamp, x, y, theta
 1.67789e+09,0.415757, -0.0785651, 3.10034
 1.67789e+09,-0.0936311, -0.0665665, 3.08767
 1.67789e+09,-0.592813, -0.0255521, 3.07366
 1.67789e+09,-1.09286, 0.0158922, 3.0561
 1.67789e+09,-1.58977, 0.0870743, 3.02425
 1.67789e+09,-2.06811, 0.172498, 2.99088
 1.67789e+09,-2.52675, 0.307287, 2.96615
 1.67789e+09,-3.0102, 0.575806, 2.78865
 1.67789e+09,-3.50057, 1.04926, 2.47981
 1.67789e+09,-3.77875, 1.58088, 2.18636
 1.67789e+09,-3.98111, 2.0905, 1.97353
 1.67789e+09,-4.02611, 2.58376, 1.82543
 1.67789e+09,-4.04088, 3.12883, 1.74434
 1.67789e+09,-4.03856, 3.68375, 1.68382
 1.67789e+09,-4.0176, 4.18413, 1.64679
 1.67789e+09,-3.97916, 4.65861, 1.60204
 1.67789e+09,-3.93351, 5.14903, 1.56399
 1.67789e+09,-3.89332, 5.66099, 1.55558
 1.67789e+09,-3.84494, 6.16645, 1.56465
 1.67789e+09,-3.8281, 6.67682, 1.57262
 1.67789e+09,-3.80444, 7.17964, 1.59357
 1.67789e+09,-3.80891, 7.68744, 1.57693
 1.67789e+09,-3.78866, 8.15504, 1.58962
 1.67789e+09,-3.75568, 8.62705, 1.52309
 1.67789e+09,-3.66472, 9.07431, 1.39491
 1.67789e+09,-3.46125, 9.49872, 1.22132
 1.67789e+09,-3.17899, 9.89725, 1.036
 1.67789e+09,-2.78894, 10.2648, 0.830346
 1.67789e+09,-2.35281, 10.4874, 0.668325
 1.67789e+09,-1.79324, 10.7014, 0.486934
 1.67789e+09,-1.3391, 10.8455, 0.331534
 1.67789e+09,-0.883069, 10.9371, 0.234478
 1.67789e+09,-0.407867, 10.9845, 0.191346
 1.67789e+09,0.0911855, 10.9902, 0.136378
 1.67789e+09,0.577132, 10.9899, 0.111689
 1.67789e+09,1.09372, 10.9945, 0.148145
 1.67789e+09,1.60605, 10.9837, 0.158597
 1.67789e+09,2.09138, 10.9666, 0.18087
 1.67789e+09,2.58988, 10.9713, 0.170725
 1.67789e+09,3.07737, 10.9635, 0.10647
 1.67789e+09,3.55665, 10.9436, 0.0553442
 1.67789e+09,4.03751, 10.9119, 0.0370535
 1.67789e+09,4.50479, 10.8891, 0.0178475
 1.67789e+09,4.96679, 10.8558, 3.12126
 1.67789e+09,5.47035, 10.8024, 3.10757
 1.67789e+09,5.91684, 10.747, 3.06441
 1.67789e+09,6.43631, 10.6677, 3.06222
 1.67789e+09,6.9177, 10.5945, 3.05232
 1.67789e+09,7.52355, 10.3444, 2.77406
 1.67789e+09,8.00252, 9.85203, 2.40464
 1.67789e+09,8.269, 9.25975, 2.05766
